task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	09/89cc66	503	taxonomy_analysis:TAXONOMY_ANALYSIS:TRIM_ADAPT (Fastp on L231T0015_S4_L001)	CACHED	0	2024-05-06 12:21:22.439	39.2s	35s	-	-	-	-	-
7	c1/bd595b	499	taxonomy_analysis:TAXONOMY_ANALYSIS:TRIM_ADAPT (Fastp on L231T0019_S5_L001)	CACHED	0	2024-05-06 12:21:22.346	1m 14s	1m 10s	-	-	-	-	-
4	6d/e5e5fc	507	taxonomy_analysis:TAXONOMY_ANALYSIS:BWA_INDEX_FULL_GENOME (Bwa index for ec)	CACHED	0	2024-05-06 12:21:22.537	39.2s	35s	-	-	-	-	-
14	c2/bf26f2	505	taxonomy_analysis:TAXONOMY_ANALYSIS:TRIM_ADAPT (Fastp on L231T008_S3_L001)	CACHED	0	2024-05-06 12:21:22.494	1m 14s	1m 10s	-	-	-	-	-
11	aa/4578a4	496	taxonomy_analysis:TAXONOMY_ANALYSIS:TRIM_ADAPT (Fastp on L231T005_S1_L001)	CACHED	0	2024-05-06 12:21:22.251	39.3s	34.9s	-	-	-	-	-
8	f2/52cd0c	504	taxonomy_analysis:TAXONOMY_ANALYSIS:FQ1 (FastQC on L231T0019_S5_L001)	CACHED	0	2024-05-06 12:21:22.467	1m 14s	1m 10s	-	-	-	-	-
2	ce/e7e277	495	taxonomy_analysis:TAXONOMY_ANALYSIS:BWA_INDEX_FULL_GENOME (Bwa index for sp)	CACHED	0	2024-05-06 12:21:22.200	4.4s	1ms	-	-	-	-	-
15	93/74bcec	508	taxonomy_analysis:TAXONOMY_ANALYSIS:FQ1 (FastQC on L231T007_S2_L001)	CACHED	0	2024-05-06 12:21:22.570	1m 14s	1m 10s	-	-	-	-	-
10	d9/ff56a4	497	taxonomy_analysis:TAXONOMY_ANALYSIS:FQ1 (FastQC on L231T0020_S6_L001)	CACHED	0	2024-05-06 12:21:22.282	1m 14s	1m 10s	-	-	-	-	-
12	fb/198211	500	taxonomy_analysis:TAXONOMY_ANALYSIS:TRIM_ADAPT (Fastp on L231T007_S2_L001)	CACHED	0	2024-05-06 12:21:22.370	1m 14s	1m 10s	-	-	-	-	-
16	c4/ec1dcb	502	taxonomy_analysis:TAXONOMY_ANALYSIS:FQ1 (FastQC on L231T008_S3_L001)	CACHED	0	2024-05-06 12:21:22.414	1m 14s	1m 10s	-	-	-	-	-
6	6d/467406	506	taxonomy_analysis:TAXONOMY_ANALYSIS:FQ1 (FastQC on L231T0015_S4_L001)	CACHED	0	2024-05-06 12:21:22.517	1m 14s	1m 10s	-	-	-	-	-
13	9f/f26e57	494	taxonomy_analysis:TAXONOMY_ANALYSIS:FQ1 (FastQC on L231T005_S1_L001)	CACHED	0	2024-05-06 12:21:22.102	39.5s	35s	-	-	-	-	-
9	1b/64ff75	498	taxonomy_analysis:TAXONOMY_ANALYSIS:TRIM_ADAPT (Fastp on L231T0020_S6_L001)	CACHED	0	2024-05-06 12:21:22.313	39.3s	35s	-	-	-	-	-
1	e1/df265c	493	taxonomy_analysis:TAXONOMY_ANALYSIS:BWA_INDEX_FULL_GENOME (Bwa index for cp)	CACHED	0	2024-05-06 12:21:22.067	4.5s	3ms	-	-	-	-	-
3	38/9ee828	501	taxonomy_analysis:TAXONOMY_ANALYSIS:BWA_INDEX_FULL_GENOME (Bwa index for va)	CACHED	0	2024-05-06 12:21:22.391	39.3s	35s	-	-	-	-	-
18	57/5926de	514	taxonomy_analysis:TAXONOMY_ANALYSIS:TRIM_4_NUCL (Cutadapt on L231T008_S3_L001)	CACHED	0	2024-05-06 12:22:36.919	39.7s	35s	-	-	-	-	-
21	02/4ccc56	509	taxonomy_analysis:TAXONOMY_ANALYSIS:TRIM_4_NUCL (Cutadapt on L231T005_S1_L001)	CACHED	0	2024-05-06 12:22:01.714	35.1s	30.2s	-	-	-	-	-
20	79/afab84	510	taxonomy_analysis:TAXONOMY_ANALYSIS:TRIM_4_NUCL (Cutadapt on L231T0020_S6_L001)	CACHED	0	2024-05-06 12:22:01.762	35.1s	30.3s	-	-	-	-	-
19	49/4cf824	513	taxonomy_analysis:TAXONOMY_ANALYSIS:TRIM_4_NUCL (Cutadapt on L231T007_S2_L001)	CACHED	0	2024-05-06 12:22:36.786	39.8s	34.9s	-	-	-	-	-
17	e2/6b8fae	512	taxonomy_analysis:TAXONOMY_ANALYSIS:TRIM_4_NUCL (Cutadapt on L231T0019_S5_L001)	CACHED	0	2024-05-06 12:22:36.727	39.9s	34.9s	-	-	-	-	-
22	d2/aef4c1	511	taxonomy_analysis:TAXONOMY_ANALYSIS:TRIM_4_NUCL (Cutadapt on L231T0015_S4_L001)	CACHED	0	2024-05-06 12:22:01.833	35s	30.3s	-	-	-	-	-
43	49/78739f	629	taxonomy_analysis:TAXONOMY_ANALYSIS:MEGAHIT (Megahit on L231T0020_S6_L001_4)	CACHED	0	2024-05-06 12:34:24.620	5m 39s	5m 35s	-	-	-	-	-
25	2c/9983c8	633	taxonomy_analysis:TAXONOMY_ANALYSIS:MEGAHIT (Megahit on L231T005_S1_L001_4)	CACHED	0	2024-05-06 12:34:24.735	6m 19s	2m 40s	-	-	-	-	-
33	50/415e69	630	taxonomy_analysis:TAXONOMY_ANALYSIS:MEGAHIT (Megahit on L231T0019_S5_L001_4)	CACHED	0	2024-05-06 12:34:24.644	5m 39s	5m 35s	-	-	-	-	-
44	7f/a184f8	679	taxonomy_analysis:TAXONOMY_ANALYSIS:KRAKEN2 (Kraken2 on L231T007_S2_L001_4)	CACHED	0	2024-05-06 15:35:21.188	2m 9s	5ms	-	-	-	-	-
23	8d/72381e	681	taxonomy_analysis:TAXONOMY_ANALYSIS:KRAKEN2 (Kraken2 on L231T005_S1_L001_4)	CACHED	0	2024-05-06 15:35:21.245	47m 39s	3m 25s	-	-	-	-	-
30	0f/5b9d4e	634	taxonomy_analysis:TAXONOMY_ANALYSIS:MEGAHIT (Megahit on L231T0015_S4_L001_4)	CACHED	0	2024-05-06 12:34:24.761	7m 19s	3m 10s	-	-	-	-	-
39	10/04ed5d	631	taxonomy_analysis:TAXONOMY_ANALYSIS:MEGAHIT (Megahit on L231T008_S3_L001_4)	CACHED	0	2024-05-06 12:34:24.683	3m 39s	3m 35s	-	-	-	-	-
